Movie Id,Amount,title,release_year
318,348,"Shawshank Redemption, The (1994)",1994
2858,113,American Beauty (1999),1999
2571,108,"Matrix, The (1999)",1999
356,71,Forrest Gump (1994),1994
1721,59,Titanic (1997),1997
260,58,Star Wars: Episode IV - A New Hope (1977),1977
2762,54,"Sixth Sense, The (1999)",1999
2959,54,Fight Club (1999),1999
527,47,Schindler's List (1993),1993
858,42,"Godfather, The (1972)",1972
7153,34,"Lord of the Rings: The Return of the King, The (2003)",2003
1198,34,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1981
1183,34,"English Patient, The (1996)",1996
1196,31,Star Wars: Episode V - The Empire Strikes Back (1980),1980
2028,30,Saving Private Ryan (1998),1998
109487,29,Interstellar (2014),2014
1917,25,Armageddon (1998),1998
50,25,"Usual Suspects, The (1995)",1995
593,24,"Silence of the Lambs, The (1991)",1991
134130,23,The Martian (2015),2015
79132,23,Inception (2010),2010
2770,23,Bowfinger (1999),1999
1909,22,"X-Files: Fight the Future, The (1998)",1998
1,22,Toy Story (1995),1995
2890,21,Three Kings (1999),1999
58559,21,"Dark Knight, The (2008)",2008
2763,21,"Thomas Crown Affair, The (1999)",1999
1907,20,Mulan (1998),1998
2628,19,Star Wars: Episode I - The Phantom Menace (1999),1999
1641,18,"Full Monty, The (1997)",1997
480,18,Jurassic Park (1993),1993
1270,18,Back to the Future (1985),1985
2366,18,King Kong (1933),1933
2641,17,Superman II (1980),1980
92259,17,Intouchables (2011),2011
134853,17,Inside Out (2015),2015
170,16,Hackers (1995),1995
2710,16,"Blair Witch Project, The (1999)",1999
2324,16,Life Is Beautiful (La Vita è bella) (1997),1997
158,16,Casper (1995),1995
2393,15,Star Trek: Insurrection (1998),1998
2006,15,"Mask of Zorro, The (1998)",1998
3082,14,"World Is Not Enough, The (1999)",1999
2355,14,"Bug's Life, A (1998)",1998
1210,14,Star Wars: Episode VI - Return of the Jedi (1983),1983
1911,14,Dr. Dolittle (1998),1998
1485,14,Liar Liar (1997),1997
3114,14,Toy Story 2 (1999),1999
4993,14,"Lord of the Rings: The Fellowship of the Ring, The (2001)",2001
2699,14,Arachnophobia (1990),1990
296,13,Pulp Fiction (1994),1994
1407,13,Scream (1996),1996
1197,13,"Princess Bride, The (1987)",1987
1608,13,Air Force One (1997),1997
2722,13,Deep Blue Sea (1999),1999
2023,13,"Godfather: Part III, The (1990)",1990
164179,13,Arrival (2016),2016
1876,13,Deep Impact (1998),1998
1193,13,One Flew Over the Cuckoo's Nest (1975),1975
780,13,Independence Day (a.k.a. ID4) (1996),1996
2353,13,Enemy of the State (1998),1998
362,13,"Jungle Book, The (1994)",1994
914,12,My Fair Lady (1964),1964
3624,12,Shanghai Noon (2000),2000
176371,12,Blade Runner 2049 (2017),2017
2712,12,Eyes Wide Shut (1999),1999
1704,12,Good Will Hunting (1997),1997
145,12,Bad Boys (1995),1995
152081,12,Zootopia (2016),2016
168252,11,Logan (2017),2017
216,11,Billy Madison (1995),1995
902,11,Breakfast at Tiffany's (1961),1961
2539,11,Analyze This (1999),1999
2706,11,American Pie (1999),1999
1059,11,William Shakespeare's Romeo + Juliet (1996),1996
1617,11,L.A. Confidential (1997),1997
1479,10,"Saint, The (1997)",1997
1923,10,There's Something About Mary (1998),1998
68954,10,Up (2009),2009
2541,10,Cruel Intentions (1999),1999
2105,10,Tron (1982),1982
2087,10,Peter Pan (1953),1953
520,10,Robin Hood: Men in Tights (1993),1993
1569,10,My Best Friend's Wedding (1997),1997
19,10,Ace Ventura: When Nature Calls (1995),1995
3101,10,Fatal Attraction (1987),1987
1345,10,Carrie (1976),1976
2761,10,"Iron Giant, The (1999)",1999
1416,10,Evita (1996),1996
2707,10,Arlington Road (1999),1999
110,9,Braveheart (1995),1995
1883,9,Bulworth (1998),1998
3252,9,Scent of a Woman (1992),1992
2167,9,Blade (1998),1998
2336,9,Elizabeth (1998),1998
1747,9,Wag the Dog (1997),1997
2949,9,Dr. No (1962),1962
431,9,Carlito's Way (1993),1993
1690,9,Alien: Resurrection (1997),1997
1584,9,Contact (1997),1997
1639,9,Chasing Amy (1997),1997
1722,9,Tomorrow Never Dies (1997),1997
1961,9,Rain Man (1988),1988
177765,9,Coco (2017),2017
673,9,Space Jam (1996),1996
661,9,James and the Giant Peach (1996),1996
2826,9,"13th Warrior, The (1999)",1999
1777,9,"Wedding Singer, The (1998)",1998
441,8,Dazed and Confused (1993),1993
1373,8,Star Trek V: The Final Frontier (1989),1989
5952,8,"Lord of the Rings: The Two Towers, The (2002)",2002
